Authors,Affiliations
Lutz Bornmann,Max-Planck-Society
Dorte Drongstrup (Henriksen),
Alesia Zuccala,University of Copenhagen
Umar Saif,"Professor of Computer Science, ITU"
Mohamed Medhat Gaber,Galala University
Tipajin Thaipisutikul,Mahidol University
Aaron Courville,University of Montreal
Ankesh Anand,University of Montreal
Philip Bachman,Microsoft
R Devon Hjelm,Apple
Marc G. Bellemare,Google
Pablo Samuel Castro,Google
Rishabh Agarwal,Google
Ankit Vani,University of Montreal
Allon Percus,Claremont Graduate University
Nitarshan Rajkumar,University of Cambridge
Michael Noukhovitch,University of Montreal
Simon Lacoste-Julien,University of Montreal
Jose Gallego-Posada,University of Montreal
Evgenii Nikishin,University of Montreal
Pierre-Luc Bacon,University of Montreal
Pierluca D'Oro,University of Montreal
Samuel Lavoie,University of Montreal
Arne Jönsson,Linköping University
Johan Falkenjack,Linköping University
Marina Santini,RISE - Research Institutes of Sweden
Daniel Holmer,Linköping University
Fergal McCaffery,"Leader of Regulated Software Research Group, Dundalk Institute of Technology, Lero"
Paul Clarke,Dublin city university
Alain Renault,Luxembourg Insitute of Science and Technology
"Marion Lepmets, Dr.",SoftComply
Peadar Grant,Dundalk Institute of Technology
Yalemisew M. Abgaz,Dublin City University
Andrew McCarren,Dublin City University
Martin McHugh,Dundalk Institute of Technology
Anita Finnegan,Dundalk Institute of Technology
Markus Helfert,Maynooth University
Valerio Perticone,University of Palermo
Metod Saniga, Slovak Academy of Sciences
Cinzia Muriana,Management Engineering PhD
giovanni fulantelli,National Research Council of Italy
domenico tegolo,University of Palermo
Francesco Isgrò,"Associate Professor, Università degli Studi di Napoli Federico II"
Roberto Pirrone,University of Palermo
Antonio Messina,"Applied Scientist, Italian National Research Council (CNR)"
Antonio Chella,University of Palermo
cesare valenti,University of Palermo
Davide Anguita,University of Genova
Pietro Storniolo,
Thomas S. Tullis,Bentley University
Eleanor Loiacono,"Associate Professor of Business Analytics, Raymond A. Mason School of Business, William & Mary"
E. Vance Wilson,Worcester Polytechnic Institute
Adrienne Hall-Phillips,Worcester Polytechnic Institute
Ann Fruhling,University of Nebraska Omaha
Andrew C. Trapp, Worcester Polytechnic Institute
Carolina Ruiz, Worcester Polytechnic Institute
Jeanine Skorinko,Worcester Polytechnic Institute
Randy Paffenroth,Worcester Polytechnic Institute
Wen Liu,Worcester Polytechnic Institute
CJ Chagnon,Worcester Polytechnic Institute
William Remus,University of Hawaii
Eyal Shnarch,IBM Research
Yufang Hou,IBM Research
Lior Fox,University of Jerusalem
Daphna Weinshall,University of Jerusalem
Guy Hacohen,University of Jerusalem
Yonatan Loewenstein,University of Jerusalem
Yonatan Bilu,KI Insitute
Dmitry Nikolaev,University of Stuttgart
Roee Aharoni,Google
Idan Szpektor,Google
Piyawat Lertvittayakumjorn,Imperial College London
Francesca Toni,Imperial College London
Yevgeni Berzak,MIT
Idan Amit,The Hebrew University
Shachar Don-Yehiya,IBM Research
Noam Slonim,IBM Research
"Allan Orozco, PhD.",University of Costa Rica
Ricardo Alvarado,Institut Néel
Dr. Mamona Yasmin Khan,The Women University Multan
Dr. Tahira  Asgher,The Islamia University of Bahawalpur
Waheed Shahzad, Rahim Yar Khan
Kashif Javed,Lahore Leads University
Hafiz Muhammad Qasim,Government College University
Zhiyong Lu,"Deputy Director for Literature Search, NCBI; Senior Investigator, NCBI-NLM"
"Ronald M. Summers, MD, PhD",National Institutes of Health Clinical Center
Le Lu,Alibaba
Qingyu Chen,"NCBI-NLM, National Institutes of Health"
Xiaosong Wang,Shanghai AI Laboratory
Cathy Wu,University of Delaware
K Vijay-Shanker,University of Delaware
Chih Hsuan Wei, NLM 
Manabu Torii,Kaiser Permanente
Robert Leaman,NLM
Rezarta Islamaj,NLM
Fabio Rinaldi,IDSIA
Carolyn Mattingly,North Carolina State University
Cecilia Arighi,University of Delaware
Catalina Oana Tudor,Urban Mining Company
Karin Verspoor,RMIT University
Ramakanth Kavuluru, University of Kentucky
Anthony Rios,Assistant Professor in Information Systems and Cyber Security
Alfonso Valencia,Barcelona Supercomputing Center.
Martin Krallinger,Barcelona Supercomputing Center.
Miha Zakotnik,Urban Mining Company
Carl Schmidt,University of Delaware
Yifan Peng,Cornell
Gang Li,Google
Fiona McCarthy,University of Arizona
Jia Ren,University of Delaware
Hossein Sepehri-Amin,National Institute for Materials Science
Kazuhiro Hono,National Institute for Materials Science
Tadakatsu Ohkubo, National Institute for Materials Science
Mengxi Lv,University of Delaware
Jules Nchoutmboube Ph.D,Merck
Konstantin Skokov,TU Darmstadt
Oliver Gutfleisch,TU Darmstadt
Dimitri Benke,TU Darmstadt
Keith Decker,University of Delaware
"Irem Celen, Ph.D.",Takeda Oncology
Hongfang Liu,Mayo Clinic
"Kavishwar Wagholikar, MD, PhD",Harvard
David Hartley,"Associate Professor of Pediatrics, Cincinnati Children's Hospital Medical Center"
Noele Nelson,Centers for Disease Control and Prevention
"Siddhartha ""Sid J Reddy"" Jonnalagadda",Amazon
Thang Nguyen,Univerisity of Maryland
Dingcheng Li,Baidu
Sachin Kamboj,University of Delaware
Darren A. Natale,Georgetown University 
Peter McGarvey,Georgetown University 
Dr. Chuming Chen,University of Delaware
Maria J. Martin,European Bioinformatics Institute
Amos Bairoch,"University of Geneva & group leader, SIB Swiss Institute of Bioinformatics"
Barry Smith,University at Buffalo
Judith Blake,Professor of Mammalian Genetics
Thorsten Joachims,Cornell University
Paul N. Bennett,Microsoft
Adith Swaminathan,Microsoft
David Mimno,Cornell University
Igor Labutov,Carnegie Mellon University
Pannaga Shivaswamy,Netflix 
Peter I Frazier,Cornell University
Karthik Raman,Google
Wenpeng Yin,Temple University
Ryen W. White,Microsoft
Kevyn Collins-Thompson,University of Michigan
Eric Horvitz,Microsoft
Ben Carterette,University of Delaware
Tobias Schnabel,Microsoft
Filip Radlinski,Google
Jaime Carbonell,Carnegie Mellon University
Peter Bailey,Canva
Krysta M. Svore,Microsoft
David Sontag,Massachusetts Institute of Technology
Emine Yilmaz,University College London
Milad Shokouhi,Microsoft
Joseph J. Pfeiffer III,Microsoft
Jennifer Neville,Purdue University
Fernando Diaz,Google
Ariel S Schwartz,
Armando Fox,UC Berkeley
Bjoern Hartmann,UC Berkeley
Anna Divoli,KPMG
Philippe Laban,UC Berkeley
Derrick Coetzee,UC Berkeley
Aditi Muralidharan,Google
Eric Saund,Saund Laboratories
Andrew Head,University of Pennsylvania
David D. Palmer,
Katherine Stasaski,UC Berkeley
Sara Alspaugh,UC Berkeley
Randy Katz,UC Berkeley
Jason Hong,Carnegie Mellon University
Mike Y. Chen - 陳彥仰,National Taiwan University
Jan Snajder,University of Zagreb
Anna Korhonen,University of Cambridge
Edoardo M. Ponti,University of Cambridge
Bojana Dalbelo Basic,University of Zagreb
Robert Litschko,University of Mannheim
Krešimir Fertalj,University of Zagreb
Marie-Francine Moens, KU Leuven
Anđelo Martinović, KU Leuven
Zoran Kalafatic,University of Zagreb
Parisa Kordjamshidi,Michigan State University
Daniela Sirinic,University of Zagreb
Luka Skukan,University of Zagreb
Krish Perumal,Biotech Square
Manish Gupta,Microsoft
Dharmesh Kakadia,Microsoft
"Ponnurangam Kumaraguru ""PK""",IIIT Hyderabad
Sangameshwar Patil,IIT Madras
Girish Keshav Palshikar,TCS Research
Balaji Vasan Srinivasan,Adobe Research
Raghuram Vadapalli,IIIT Hyderabad
Bakhtiyar Syed,LinkedIn
Pattisapu Nikhil Priyatam,IIIT Hyderabad
Dhruv Khattar,IIIT Hyderabad
Kirti Garg,
Manish Shrivastava,IIIT Hyderabad
Jagadeesh Jagarlamudi,Google
Pinkesh Badjatiya,Microsoft
Vijayasaradhi Indurthi,IIIT Hyderabad
Piyush Arora,American Express
Aditya Mogadala,Amazon
Sachin Pawar,TCS Research
Niraj Kumar,Samsung
Srinathan K,IIIT Hyderabad
Romil Bansal,
Aditya Joshi,IIIT Hyderabad
Nitin Ramrakhiyani,IIIT Hyderabad
Dr. Pushpak Bhattacharyya, IIT Bombay
Masashi Toyoda,The University of Tokyo
Nobuhiro Kaji,Yahoo Japan Corporation
Shoetsu Sato,University of Tokyo
Shonosuke Ishiwatari,University of Tokyo
Jin Sakuma,University of Tokyo
Masahiko Itoh,Hokkaido Information University
Masato Neishi,University of Tokyo
Wenliang Gao,
Asuka Sumida,
Tatsuya Iwanari,University of Tokyo
Keiji Shinzato,Rakuten Institute of Technology
Yuka Tateisi,National Institute of Informatics
Andreas Witt,University of Mannheim
Nils Diewald,University of Mannheim
Piotr Banski,University of Mannheim
Frank Keller,University of Edinburgh
Piotr Pęzik,University of Łódź
Thomas N. Haider,University of Göttingen
Maik Stührenberg,Universität Bielefeld
Ayu Purwarianti,Institut Teknologi Bandung
Dwi H. Widyantoro,Institut Teknologi Bandung
Said Al Faraby,Telkom University
Mahmud Dwi Sulistiyo,Telkom University
Bambang Pudjoatmodjo,Telkom University
Siti Saadah,Telkom University
Novi Yusliani,Sriwijaya University
JIMMY TIRTAWANGSA,Telkom University
yuliant sibaroni,Telkom University
Alfan Farizki Wicaksono,University of Indonesia
Wikky Fawwaz Al Maki,Telkom University
Warih Maharani,Telkom University
Lisa Madlberger,Vienna University of Technology
Bart Rienties,Open University 
Jekaterina Rogaten,University of the Arts
Tim Coughlan,Open University 
U Stickler,Open University 
Tim Lewis,Open University 
ROBERT O'DOWD .,Language Teacher and Researcher
Francisco Iniesto,Open University 
Ali İlya,Sakarya University
Monideepa Tarafdar,Lancaster University Management 
Victoria L. Murphy,Open University 
Rebecca Ferguson,Open University 
Tina Papathoma,Learning Science Researcher
Christothea Herodotou,Open University 
Martin Hlosta,Open University 
Václav Bayer,Open University 
Robert Farrow,Open University 
Merve Savaşçı,Sakarya University
Николай Леонидович Шамне (Nikola...,Волгоградский государственный университет
Leo Wanner,University of Pompeu Fabra
Bernd Bohnet,Google
Anya Belz,Dublin City University
Nadjet Bouayad-Agha,University of Pompeu Fabra
Gerard Casamayor,University of Pompeu Fabra
Stefanos Vrochidis,University of Pompeu Fabra
Marco Rospocher,University of Verona
Luciano Serafini, Fondazione Bruno Kessler
Stamatia Dasiopoulou,NTT DATA Europe & LATAM
Jürgen Moßgraber,Fraunhofer IOSB
Thiago Castro Ferreira,Federal University of Minas Gerais 
Ari Karppinen, Finnish Meteorological Institute
Sara Tonelli, Fondazione Bruno Kessler
Thomas Ertl, University of Stuttgart
Harald Bosch,University of Stuttgart
Maria Rauschenberger,University of Applied Science
Clara Bayarri,"Undergraduate student, Universitat Politecnica de Catalunya"
Martin Pielot,Senior Quantitative UX Researcher
Joaquim Llisterri,Universitat Autònoma de Barcelona
Mari-Carmen Marcos,University of Pompeu Fabra
Roberto Carlini,UPF
Laura Dempere-Marco,Universitat de Vic-Universitat Central de Catalunya
Miquel Serra,"professor de psicologia cognitiva, Universitat de Barcelona"
Kristin Williams,Carnegie Mellon University
Iustina Ilisei,University of Wolverhampton
Andrea VARGA,University of Sheffield
Julia Dembowski,Saarland University
Djamé Seddah,INRIA
Eric Villemonte De la Clergerie,INRIA
Pedro Ortiz Suarez,Universität Mannheim
Laurent Romary,INRIA
Géraldine Walther,George Mason University
Darja Fišer, University of Ljubljana
Benjamin Muller,INRIA
Marie Candito,"Maîtresse de Conférences, Université Paris Diderot"
Ganesh Jawahar,University of British Columbia
Yoann Dupont,"ATER, Sorbonne-Université"
Gilles ADDA,Ingénieur de recherche
Bernard Lang,INRIA
Rachel Bawden,INRIA
Valérie Hanoka,Junior Research Fellow at Paris 7 - Diderot - University | Verbatim Analyis Vera
Ece Kamar,Microsoft 
Jonathan K Kummerfeld,University of Michigan
Raja Kushalnagar,Gallaudet University
Mitchell L. Gordon,Stanford University
Yan Chen,University of Toronto
Chris Miller, University of Rochester
Chulaka Gunasekara,IBM
Jean Y. Song,DGIST
Sang Won Lee,Virginia Tech
Steve Oney,University of Michigan
Sai R. Gouravajhala,University of Michigan
Harmanpreet Kaur, University of Michigan
Besmira Nushi,Microsoft
Kyle I. Murray,Apple
Steven Dow, UC San Diego
Henry Kautz,University of Rochester
Richard E Ladner,University of Washington
Anhong Guo,University of Michigan
Erin Brady,Purdue University
Saiph Savage,Northeastern University 
Yu Zhong,Google
Kotaro Hara,Singapore Management University
Meredith Ringel Morris,Google
Ting-Hao 'Kenneth' Huang,Pennsylvania State University
Shaun Kane,Google
Cole Gleason,Apple
Jeffrey Nichols,Apple
Adam Sadilek,AIM
Jacob O. Wobbrock,University of Washington
Jeffrey A. Bilmes,University of Washington 
Kevin Duh,Johns Hopkins University
Yuzong Liu,Amazon
Anne Turner,University of Washington 
Tanja Schultz,University Bremen
Andreas Stolcke,Amazon
Andrei Alexandrescu,The D Language Foundation
Heike Adel,Bosch Center for Artificial Intelligence
Mark Hasegawa-Johnson,University of Illinois
"Daniel Capurro, MD, PhD",University of Melbourne
Hui Lin,Google
Rishabh Iyer,Microsoft
Julie A. Kientz,University of Washington
George Demiris,University of Pennsylvania
Andrea L. (Civan) Hartzler,University of Washington
Elizabeth D. Liddy,Syracuse University
Neil Rambo,New York University
Eileen Allen, Syracuse University
Jonathan P DeShazo,Virginia Commonwealth University
Stanislaw Szpakowicz,University of Ottawa
Rada Mihalcea,University of Michigan
Marina Sokolova,University of Ottawa
Deniz Yuret,Koc University
Carlo Strapparava,"Senior Researcher, FBK-irst"
Peter Turney,Ronin Institute
Katja Filippova,Google
Mari Ostendorf,University of Washington
Hannaneh Hajishirzi,University of Washington
Luheng He,Google
David Wadden,University of Washington
Kristina Toutanova,Google Research
Shinji Watanabe,Carnegie Mellon University
Richard A. Wright,University of Washington
Ulme Wennberg, KTH Royal Institute of Technology
Valerie Freeman,Oklahoma State University
Nobuaki Minematsu,University of Tokyo
Keikichi Hirose,University of Tokyo
Jacob Eisenstein,Google 
Michael Collins,Google 
Trang Tran,University of Southern California
Michel Galley,Micrsoft
Bill Dolan,Micrsoft
Chris Brockett,Microsoft
Hua He,University of Maryland
Wei Bai (白巍),Micrsoft
shangfei wang,University of Science and Technology of China
Yanyan Xu,Shanghai Jiao Tong University 
Francesco Corcoglioniti,Free University of Bozen
Stefano Menini,Fondazione Bruno Kessler
Alberto Lavelli,Fondazione Bruno Kessler
Claudio Giuliano,Fondazione Bruno Kessler
Fabien Gandon,INRIA
Rachele Sprugnoli,Università degli Studi di Parma
Emanuele Pianta,Fondazione Bruno Kessler
Giovanni Moretti,Unicatt
Elena Cabrio,"Université Côte d’Azur, Inria, CNRS, I3S, France"
Rodolfo Delmonte,"Professore di linguistica computazionale, Ca' Foscari Università Venezia"
Alessio Palmero Aprosio,Fondazione Bruno Kessler
Serena Villata,Centre National de la Recherche Scientifique (CNRS)
Giuseppe Riccardi,University of Trento 
Michele Corazza,Università di Bologna
Paramita Mirza,Max Planck Institute for Informatics
Anastasia Moumtzidou,CERTH / ITI
Marieke van Erp,KNAW Humanities Cluster
Richard Johansson,University of Gothenburg 
Rajen Chatterjee,Apple 
Nello Cristianini,University of Bristol
José G. C. de Souza,Unbabel
Mauro Cettolo,Fondazione Bruno Kessler
Tijl De Bie,Ghent University
Nicola Bertoldi,Fondazione Bruno Kessler
Alexandra Balahur,"Scientific Project Officer, European Commission Joint Research Centre"
Josef Steinberger,University of West Bohemia
Daniele Giuseppe Falavigna,Fondazione Bruno Kessler
Mihael Arcan,Research Fellow at Insight SFI Research Centre for Data Analytics / Data Science Institute
Marco Guerini,Fondazione Bruno Kessler
Ilias Flaounas,Google
Vanni Zavarella,Joint Research Center European Commission
Marc Dymetman,NAVER Labs
Marco Turchi,Fondazione Bruno Kessler
Luisa Bentivogli,Fondazione Bruno Kessler
Yashar Mehdad,Facebook
Hristo Tanev,"Joint Research Centre, European Commission"
Marco Gaido,Fondazione Bruno Kessler
Yasar Ayaz,NUST -SMME
Anna Visvizi, Warsaw School of Economics
Douglas Kell,University of Liverpool
Rafal Rak,University of Manchester
"Haider Abbas, IET Fellow",National University of Sciences and Technology
Ioannis Korkontzelos,Edge Hill University
Makoto Miwa,"Associate Professor, Toyota Technological Institute"
Anita de Waard,Elsevier
Gary Pollock,Manchester Metropolitan University
Prof Dr Usman Qamar,"Tenured Professor & HoD (C&SE),  NUST & Director Knowledge and Data Science Research Centre (KDRC)"
Maria Liakata,Alan Turing Institute 
Shiva Taslimipoor,University of Cambridge
David Strohmaier,University of Cambridge
Alan Blackwell,University of Cambridge
Advait Sarkar,Microsoft
Ted Briscoe,University of Cambridge
Benjamin Van Durme,Microsoft
Matthew R. Gormley,Carnegie Mellon University
Aasish Pappu,Facebook
Mark Dredze,Johns Hopkins University
Nitin Madnani,Educational Testing Service
Aoife Cahill,Dataminr
pushpendre rastogi,Amazon
Travis Wolfe,Google
Ann Irvine,Johns Hopkins University
Johan Bos,University of Groningen
Malvina Nissim,Rijksuniversiteit Groningen
Xiaoman Pan,Tencent
Lyle Ungar,University of Pennsylvania
Xuchen Yao,Johns Hopkins University
Steven Tobochnik,"Brigham and Women's Hospital, Harvard Medical School"
Jonathan Bragg,Allen Institute for AI (AI2)
Amy X. Zhang,"Assistant Professor, Computer Science & Engineering, University of Washington"
Josiane Mothe,"Université de Toulouse, Institut de Recherche en Informatique de Toulouse"
Irina Ovchinnikova,"Manpower Language Solution, Israel"
Eric SanJuan - Ibekwe,Avignon University
Frédérique Bordignon,Ecole des Ponts ParisTech
Jean Valère Cossu,My Local Influence
Jian-Yun Nie,University of Montreal
Nicolas Turenne,"UMR LISIS (INRA,UPEM,CNRS)"
Gaël Guibon,Post doctoral researcher
Olivier Teste,"Professeur d'Informatique, Université Toulouse 2, IRIT"
Romain Deveaud,Qwant
Xavier Tannier,"Sorbonne Université, INSERM, LIMICS"
Véronique Moriceau,Université de Toulouse
laurianne sitbon,Queensland University of Technology
Laurent Gillard,n/a
Sébastien Fournier,LIS
Hussam Hamdan,Researcher
ludovic bonnefoy,University of Avignon
Vincent Bouvier,Kware 
Jaap Kamps,University of Amsterdam
Anaïs Ollagnier,Université Côte d'Azur
Amal Htait,Assistant Professor
Magalie Ochs,"R2I, LIS, Aix Marseille Université"
Philippe Blache,"CNRS, Université Aix-Marseille"
Chahinez Benkoussas,Aix-marseille university
Juan-Manuel Torres-Moreno,Université d'Avignon 
Young-Min Kim,Hanyang University
"Наталья Лукашевич, Natalia Loukach...", Moscow State University
Ilia Chetviorkin,Apple
Vladislav Blinov, Oracle Corporation
Valeria Baranova (Bolotova), RMIT
Matthias Hagen,Martin-Luther-Universität Halle-Wittenberg
Yana Volkovich,Xandr (AppNexus)
Benno Stein,Bauhaus-Universität Weimar
Denis Savenkov,Facebook
Pavel Efimov,ITMO University
Leonid Boytsov,Bosch Center for Artificial Intelligence (BCAI)
Michael Völske,Bauhaus-Universität Weimar
Dmitry Ignatov,Higher School of Economics
Eugene Agichtein, Emory University
Alexander Bondarenko,Martin-Luther-Universität Halle-Wittenberg
Elena Tutubalina,Kazan Federal University
Andrew Krizhanovsky (Андрей Анато...,Institute of Applied Mathematical Research of KarRC RAS
Vladislav Korablinov,Toloka
Marijn Koolen,Researcher and developer at KNAW Humanities Cluster
maarten marx,University of Amsterdam
Börkur Sigurbjörnsson,Urbanixm
Mostafa Dehghani,Google
Gabriella Kazai,Microsoft
Andrew Trotman,University of Otago
Hugo Huurdeman,University of Amsterdam
Hosein Azarbonyad,Elsevier
Charles L. A. Clarke,University of Waterloo
Ralf Schenkel,Universitaet Trier
Mounia Lalmas,Spotify
Seyyed Hadi Hashemi, ING Analytics
Toine Bogers,Aalborg University Copenhagen
Avi Arampatzis,Democritus University of Thrace
Julia Kiseleva,Microsoft 
Jussi Karlgren,Spotify
Djoerd Hiemstra,Radboud University
Gilles Hubert,University of Toulouse
Patrice Bellot,Aix-Marseille Université
Mohand Boughanem,University of Toulouse
Fionn Murtagh,University of Huddersfield
Ludovic Tanguy,University of Toulouse
Max CHEVALIER,Toulouse University
Damien Dudognon,Webedia
Nathalie Aussenac-Gilles,"CNRS Senior Researcher (DR2), IRIT (CNRS, Univ. Toulouse), TMBI (Univ. Toulouse), France"
Iria da Cunha,Associate Professor (Profesora contratada doctora) at Universidad Nacional de Educación a Distancia
Fidelia Ibekwe,Aix-Marseille University
Alejandro Molina Villegas,Consejo Nacional de Ciencia y Tecnología - CentroGeo
Liana Ermakova,Université de Bretagne Occidentale
Gerardo Sierra,"Grupo de Ingeniería Lingüística, Instituto de Ingeniería, UNAM"
Philippe Mulhem,LIG-CNRS
Nicola Ferro,University of Padua
Irene Castellón,Universitat de Barcelona
M. Teresa Cabré,University of Pompeu Fabra
Fabrizio Falchi,"Senior Researcher at ISTI-CNR, Pisa"
Lucia Vadicamo,"Researcher, ISTI - Consiglio Nazionale delle Ricerche (CNR)"
Fabio Carrara,"Research Collaborator, ISTI CNR Pisa"
Richard Eckart de Castilho,Technische Universität Darmstadt
Iryna Gurevych,Technische Universität Darmstadt
Abinew Ali Ayele,University of Hamburg
Uli Fahrer,TU Darmstadt
Gregor Wiedemann,Leibniz-Institute
Andreas Holzinger,"Human-Centered AI Lab, University of Natural Resources and Life Sciences, Vienna, Austria"
Anette Frank,Heidelberg University
Tatiana von Landesberger (Tekušová),University of Cologne
Shervin Malmasi,Harvard
Ljiljana Trtica Majnarić,Associate.Prof. Faculty of Medicine Osijek
Binny Mathew,IIT Kharagpur
Pawan Goyal,IIT Kharagpur
Punyajoy saha,IIT Kharagpur
Animesh Mukherjee,IIT Kharagpur
Steffen Remus,Universität Hamburg
Gerhard Heyer,ASV Leipzig
Torsten Zesch,"Professor of Computational Linguistics, Fernuniversität in Hagen"
Benjamin Milde,Universität Hamburg
Darina (Benikova) Gold,University of Duisburg-Essen
Asif Ekbal,IIT Patna
Sarah Kohail,
Vander Alves,University of Brasilia
Nan Niu,University of Cincinnati
Rodrigo Pereira dos Santos,UNIRIO
Slinger Jansen,Utrecht University
Sjaak Brinkkemper,Utrecht University
Sabrina Marczak,"Adjunct Professor at the Computer Science School, PUCRS"
João Henrique C. Pimentel,Universidade Federal Rural de Pernambuco
André Felipe Lemos Santana,Petrobras S.A.
Ruihong Huang,Texas A&M University
Shubham Pateria,Singapore Management University
Lu Wang,University of Michigan
Eva Sharma,Microsoft
Marshall White,Northeastern University
Aseem Saxena,Samsung
Lei Gao,Texas A&M University
Raghu Ballappa Bankapur,Samsung
Vaisakh P S,Samsung
Sanuj Sharma,Texas A&M University
Nazneen Rajani,HuggingFace
Georgiana Dinu,Amazon
Prashant Mathur,Amazon
Anna Currey,Amazon
Benjamin Newman,Stanford University
Jesse Vig,Salesforce
Wenhao Liu,Salesforce
Ellen Riloff,University of Utah
Prafulla Kumar Choubey,Salesforce
Wenlin Yao,Tencent
Ashequl Qadir,Wayfair
Lalindra De Silva,University of Utah
Le Sun,"Institute of Software, CAS"
James Caverlee,Texas A&M University
Seth Polsley,Texas A&M University
Ignacio Cases,MIT
Ajit Jain,Texas A&M University
junlin zhang,Senior Research
Deyi Xiong,Tianjin University
Min Zhang,Soochow University
Wei Zhang,Adobe
Omar F. Zaidan,Johns Hopkins University
Chris Dyer,DeepMind
Miles Osborne,Edinburgh
Juri Ganitkevitch,Apple
Hieu Hoang,Microsoft
Jonathan Weese,Johns Hopkins University
Daphne Ippolito,University of Pennsylvana
Richard Zens,Google
Brooke Cowan,Cambia Health Solutions
Marianna Apidianaki,University of Pennsylvania
Babak Khoshnevisan,University of South Florida 
arshya keyvanfar, Islamic Azad University
Gholam-Reza Abbasian,Imam Ali University
Somayyeh Sabah, Islamic Azad University
Seyyede Fateme Ghazi Mir Saeed, Islamic Azad University
Maryam Haghighi, Islamic Azad University
Mohammad Aghajanzadeh, Islamic Azad University
Bahram Mowlaie, Islamic Azad University
Samaneh Tarighat,Islamic Azad University
Vahid Panahzadeh,Allameh Tabataba'i University
Tayebeh Fani, Islamic Azad University
Osvaldo N. Oliveira Jr.,"Instituto de Fisica de Sao Carlos, USP, Brazil"
Graça Nunes,Universidade de São Paulo
Erick Rocha Fonseca,
Valeria Delisandra Feltrim,Universidade Estadual de Maringá
Renata Pontin de Mattos Fortes,Universidade de São Paulo
Diana Santos,University of Oslo
Renata Vieira,Évora University
Rosane Minghim,University College Cork
Mário J. Silva,Instituto Superior Técnico
Angela Fan,Facebook
Pierre-Emmanuel Mazaré,Facebook
samuel humeau,Facebook
Thomas Scialom,Facebook
Jacopo Staiano,reciTAL.ai
Jason Weston,Facebook
Usunier Nicolas,Facebook
Yoshua Bengio,University of Montreal
Xavier Glorot,DeepMind
Sumit Chopra,NYU
Alberto García-Durán,Atinary Technologies
Leon Bottou,Facebook
Adam Fisch,MIT
Jesse Dodge,Allen Institute for AI
Y-Lan Boureau,Facebook
Patrick Gallinari,Sorbonne University
Arthur Szlam,Facebook
Alexis Conneau,Facebook
Loïc Barrault,Facebook
Danqi Chen,Princeton University
Yves Grandvalet,CNRS/UTC
Seyda Ertekin,MIT
Yann LeCun,Facebook
Vineet Sahula,MNIT
Kusum Lata,The LNMIIT
Sreehari Veeramachaneni,
Abhishek Sharma,LNMIIT
Yogendra Gupta,SKIT
Konark Yadav,Data Scientist
Dr. Shubhajit Roy Chowdhury,IIT Mandi
Surbhi Chhabra,LNM
Ansh Gupta,LNM
Purnendu Karmakar,LNM
Ritajit Majumdar,Indian Statistical Institute
Nikhil Paliwal,Saarland University
Pankhuri Vanjani,Saarland University
Professor G R Sinha,IIIT Bangalore
Aakash Saini,RWTH Aachen
Priyanka Gupta,Dhirubhai Ambani Institute of Information and Communication Technology
Tanmay Chaturvedi,University of Colorado
Anurag Mahajan,Symbiosis Institute of Technology
Mohita Jaiswal,LNM
Vibhor Kant,RGSC
VINOD KUMAR KHANNA,CSIR
Dr. Mahanth Prasad,CSIR
D Boolchandani,Professor of Electronics & Communication Engineering
Lintu Rajan,NIT Calicut
Sandeep Saini,LNM
C Periasamy,MNIT
lokesh garg,Manipal Univeristy
Lava Bhargava,MNIT
Dr. Renu Kumawat,Manipal Univeristy
Arjun singh chauhan,MNIT
Tarun Kumar Goyal,DFT-Engineer
Ravikumar CP,Texas Instruments
Dhirendra Mathur,Rajasthan Technical University
Dr. K.K. Sharma,MNIT
Janki Ballabh Sharma,Rajasthan Technical University
Mohammad Abrar Ahmed,Intel 
Ramakrishna Vaikuntapu,MNIT
S.N.Ghosh,College of Engineering
Rashi Kumar,MNIT
Dr. Vijayakumar Krishnasamy, IIITDM Kancheepuram
Benjamin Marie,4i
Raj Dabre,NICT
Tetsuro TAKAHASHI,Fujitsu Laboratories
Raphael Rubino,NICT
Pierre Isabelle,National Research Council of Canada
Rui Wang (王瑞),Shanghai Jiao Tong University
Kehai Chen (陈科海),Harbin Institute of Technolgy 
Rei Miyata,Nagoya University
Haipeng Sun(孙海鹏),JD AI Research
Michel Simard,National Research Council of Canada
Roland Kuhn,National Research Council of Canada
Ko Ishiyama,Recruit Institute of Technology
Anoop Kunchukuttan,Microsoft 
Kai Yu（俞凯）,Shanghai Jiao Tong University
Lu Chen,Shanghai Jiao Tong University
Zhi Chen,Shanghai Jiao Tong University
Ruisheng Cao,SJTU
Haifeng Wang,Baidu
Junyuan Shang,Baidu NLP
Shuohuan Wang,Baidu
Su Zhu,AISpeech
Kai Sun,Facebook
Cheng Chang,Tencent
Xiang Zhou,UNC Chapel Hill
Liliang Ren,University of Illinois at Urbana-Champaign
Milica Gasic,Heinrich-Heine-University Düsseldorf
Qizhe Xie,Google
Pei-Hao Su,University of Cambridge
Yanbin Zhao,Baidu
Yanmin Qian,Shanghai Jiao Tong University
Steve Young,Professor of Information Engineering
François Mairesse,Amazon
Simon Keizer,NLP Research Scientist
Heinrich Dinkel,Xiaomi
Mark Gales,Cambridge University
Shuai Wang,Tencent
Filip Jurcicek,
Philip Woodland,Cambridge University
Tian Tan,AISpeech
Zhehuai Chen,Google
Nanxin Chen,Google
