Authors,Affiliations
Alistair Plum,PhD Student at the Research Group in Computational Linguistics
Marcello Federico,Amazon
Oscar Ferrandez, Nuance Communications
Le An Ha,University of Wolverhampton
Ramesh Krishnamurthy,Aston University
Bernardo Magnini,"Researcher, Fondazone Bruno Kessler - FBK, Trento, Italy"
Günter Neumann,University in Saarbrücken
David Tomás,University of Alicante
Eduard Barbu,University of Tartu
David Kauchak,Pomona College
Hsinchun Chen,University of Arizona
Alicia Iriberri,California State University
Gianluca De Leo,Augusta University
CATHERINE ARNOTT SMITH,University of Wisconsin-Madison
"Chih Hao Ku, Ph.D.",Cleveland State University
Philip Harber,University Of Arizona
Lorne Olfman,Claremont Graduate University
Terry Ryan,Claremont Graduate University
James E. Endicott,University of Colorado Boulder
Dr. Kamla Ali Al-Busaidi,Sultan Qaboos University
Hanna Suominen,"Associate Director (Engagement & Impact), Associate Professor (Tenured), ANU School of Computing"
Lorraine Goeuriot,Université Joseph Fourier
Liadh Kelly,Maynooth University
"Melissa L. Just, MLIS, EdD",University of Saskatchewan
Jennifer Jie Xu,Bentley University
Tobias Schreck,Graz University of Technology
"Danielle L Mowery PhD, FAMIA",University of Pennsylvania
Sonia Colina,University of Arizona
Samir Chatterjee,Claremont Graduate University
Núria Bel,University of Pompeu Fabra
JORGE VIVALDI PALATRESI,University of Pompeu Fabra
Silvia Vázquez Suárez,University of Pompeu Fabra
Muntsa Padró,Eloquant
Sergi Torner,University of Pompeu Fabra
Raquel Hervás, University Complutense of Madrid
Pablo Gervás, University Complutense of Madrid
Gonzalo Méndez, University Complutense of Madrid
Virginia Francisco, University Complutense of Madrid
R. Ignacio Madrid,PhD Psychology - Human-Computer Interaction (HCI) Expert
Carlos León,Associate Professor (UCM)
Alberto Díaz,Profesor Titular de Universidad
Miguel Ballesteros, Amazon
Iván Martínez-Ortiz, University Complutense of Madrid
Pablo Moreno Ger,Universidad Internacional de La Rioja
Gabriel Amores,Universidad de Sevilla
M BELEN DIAZ AGUDO, University Complutense of Madrid
Sandra Williams,retired
Franck Fieschi, Université Grenoble Alpes
NAZARIO MARTIN LEON - ORCID: 00..., University Complutense of Madrid
Rafael Delgado,Molecular Microbiology. Instituto de Investigación Hospital 12 de Octubre. Madrid. Spain
steve simske,Colorado State University
Rafael Ferreira Mello,Universidade Federal Rural de Pernambuco
Rinaldo Lima,Federal Rural University of Pernambuco
Francisco Heron de Carvalho-Junior,Universidades Federal do Ceará
Luciano de Souza Cabral,Instituto Federal de Pernambuco
Hilário Oliveira,Professor do Instituto Federal do Espírito Santo
Dragan Gasevic,"Professor of Learning Analytics, Monash University"
Carlos A. B. Mello,"Center of Informatics, Federal University of Pernambuco"
Vitor Rolim,Universidade Federal de Pernambuco
Fred Freitas,"Professor de Ciência da Computação, Centro de Informática, Universidade Federal de Pernambuco "
Ricardo Massa Ferreira Lima,"Associate Professor of Computer Science, Center of Informatics, Federal  University of Pernambuco (CIn/UFPE)"
George Darmiton da Cunha Cavalcanti,"Professor, Universidade Federal de Pernambuco, Brazil"
Jamilson Batista,"Doctor in Computer Science, Cin-UFPE"
Simon Thompson,"Technical Project Director, dApp Platform, IOHK; Professor, University of Kent and ELTE"
